10/08/2022 01:46:30 PM | INFO | ********* Stard test_login_with_valid_credential ... *********
10/08/2022 01:46:30 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/08/2022 01:46:33 PM | INFO | enter userID
10/08/2022 01:46:34 PM | INFO | enter Password
10/08/2022 01:46:34 PM | INFO | click login button
10/08/2022 01:46:35 PM | INFO | Actual page title is: Guru99 Bank Manager HomePage
10/08/2022 01:46:35 PM | INFO | Expected page title is: Guru99 Bank Manager HomePage
10/08/2022 01:46:35 PM | INFO | Test Case Passed.
10/08/2022 01:57:34 PM | INFO | ********* Stard test_login_with_valid_credential ... *********
10/08/2022 01:57:34 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/08/2022 01:57:38 PM | INFO | enter userID
10/08/2022 01:57:38 PM | INFO | enter Password
10/08/2022 01:57:38 PM | INFO | click login button
10/08/2022 01:57:40 PM | INFO | Actual page title is: Guru99 Bank Manager HomePage
10/08/2022 01:57:40 PM | INFO | Expected page title is: Guru99 Bank Manager HomePage
10/08/2022 01:57:40 PM | INFO | Test Case Passed.
10/08/2022 01:57:41 PM | INFO | ********* Stard test_login_with_invalid_credential ... *********
10/08/2022 01:57:41 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/08/2022 01:57:45 PM | INFO | enter valid userID
10/08/2022 01:57:45 PM | INFO | enter invalid password
10/08/2022 01:57:45 PM | INFO | click login button
10/08/2022 01:57:45 PM | INFO | Actual alert message is: User or Password is not valid
10/08/2022 01:57:45 PM | INFO | accepted alert message
10/08/2022 01:57:45 PM | INFO | Expected alert message is: User or Password is not valid
10/08/2022 01:57:45 PM | INFO | Test Case Passed.
10/08/2022 02:03:15 PM | INFO | ********* Stard test_login_with_valid_credential ... *********
10/08/2022 02:03:15 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/08/2022 02:03:19 PM | INFO | enter userID
10/08/2022 02:03:19 PM | INFO | enter Password
10/08/2022 02:03:19 PM | INFO | click login button
10/08/2022 02:03:21 PM | INFO | Actual page title is: Guru99 Bank Manager HomePage
10/08/2022 02:03:21 PM | INFO | Expected page title is: Guru99 Bank Manager HomePage
10/08/2022 02:03:21 PM | INFO | Test Case Passed.
10/08/2022 02:03:22 PM | INFO | ********* Stard test_login_with_invalid_credential ... *********
10/08/2022 02:03:22 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/08/2022 02:03:25 PM | INFO | enter valid userID
10/08/2022 02:03:25 PM | INFO | enter invalid password
10/08/2022 02:03:25 PM | INFO | click login button
10/08/2022 02:03:26 PM | INFO | Actual alert message is: User or Password is not valid
10/08/2022 02:03:26 PM | INFO | accepted alert message
10/08/2022 02:03:26 PM | INFO | Expected alert message is: User or Password is not valid123
10/08/2022 02:03:27 PM | INFO | Test Case Failed.
10/08/2022 02:04:47 PM | INFO | ********* Stard test_login_with_valid_credential ... *********
10/08/2022 02:04:47 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/08/2022 02:04:53 PM | INFO | enter userID
10/08/2022 02:04:53 PM | INFO | enter Password
10/08/2022 02:04:53 PM | INFO | click login button
10/08/2022 02:04:54 PM | INFO | Actual page title is: Guru99 Bank Manager HomePage
10/08/2022 02:04:54 PM | INFO | Expected page title is: Guru99 Bank Manager HomePage
10/08/2022 02:04:54 PM | INFO | Test Case Passed.
10/08/2022 02:04:56 PM | INFO | ********* Stard test_login_with_invalid_credential ... *********
10/08/2022 02:04:56 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/08/2022 02:04:59 PM | INFO | enter valid userID
10/08/2022 02:04:59 PM | INFO | enter invalid password
10/08/2022 02:04:59 PM | INFO | click login button
10/08/2022 02:05:00 PM | INFO | Actual alert message is: User or Password is not valid
10/08/2022 02:05:00 PM | INFO | accepted alert message
10/08/2022 02:05:00 PM | INFO | Expected alert message is: User or Password is not valid123
10/08/2022 02:05:46 PM | INFO | ********* Stard test_login_with_valid_credential ... *********
10/08/2022 02:05:46 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/08/2022 02:05:50 PM | INFO | enter userID
10/08/2022 02:05:50 PM | INFO | enter Password
10/08/2022 02:05:50 PM | INFO | click login button
10/08/2022 02:05:52 PM | INFO | Actual page title is: Guru99 Bank Manager HomePage
10/08/2022 02:05:52 PM | INFO | Expected page title is: Guru99 Bank Manager HomePage
10/08/2022 02:05:52 PM | INFO | Test Case Passed.
10/08/2022 02:05:53 PM | INFO | ********* Stard test_login_with_invalid_credential ... *********
10/08/2022 02:05:53 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/08/2022 02:05:58 PM | INFO | enter valid userID
10/08/2022 02:05:58 PM | INFO | enter invalid password
10/08/2022 02:05:58 PM | INFO | click login button
10/08/2022 02:05:59 PM | INFO | Actual alert message is: User or Password is not valid
10/08/2022 02:05:59 PM | INFO | accepted alert message
10/08/2022 02:05:59 PM | INFO | Expected alert message is: User or Password is not valid123
10/08/2022 02:07:16 PM | INFO | ********* Stard test_login_with_valid_credential ... *********
10/08/2022 02:07:16 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/08/2022 02:07:19 PM | INFO | enter userID
10/08/2022 02:07:19 PM | INFO | enter Password
10/08/2022 02:07:20 PM | INFO | click login button
10/08/2022 02:07:21 PM | INFO | Actual page title is: Guru99 Bank Manager HomePage
10/08/2022 02:07:21 PM | INFO | Expected page title is: Guru99 Bank Manager HomePage
10/08/2022 02:07:21 PM | INFO | Test Case Passed.
10/08/2022 02:07:23 PM | INFO | ********* Stard test_login_with_invalid_credential ... *********
10/08/2022 02:07:23 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/08/2022 02:07:27 PM | INFO | enter valid userID
10/08/2022 02:07:27 PM | INFO | enter invalid password
10/08/2022 02:07:27 PM | INFO | click login button
10/08/2022 02:07:28 PM | INFO | Actual alert message is: User or Password is not valid
10/08/2022 02:07:28 PM | INFO | accepted alert message
10/08/2022 02:07:28 PM | INFO | Expected alert message is: User or Password is not valid123
10/08/2022 02:09:39 PM | INFO | ********* Stard test_login_with_valid_credential ... *********
10/08/2022 02:09:39 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/08/2022 02:09:43 PM | INFO | enter userID
10/08/2022 02:09:43 PM | INFO | enter Password
10/08/2022 02:09:44 PM | INFO | click login button
10/08/2022 02:09:45 PM | INFO | Actual page title is: Guru99 Bank Manager HomePage
10/08/2022 02:09:45 PM | INFO | Expected page title is: Guru99 Bank Manager HomePage
10/08/2022 02:09:45 PM | INFO | Test Case Passed.
10/08/2022 02:09:46 PM | INFO | ********* Stard test_login_with_invalid_credential ... *********
10/08/2022 02:09:46 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/08/2022 02:09:51 PM | INFO | enter valid userID
10/08/2022 02:09:51 PM | INFO | enter invalid password
10/08/2022 02:09:51 PM | INFO | click login button
10/08/2022 02:09:52 PM | INFO | Actual alert message is: User or Password is not valid
10/08/2022 02:09:52 PM | INFO | accepted alert message
10/08/2022 02:09:52 PM | INFO | Expected alert message is: User or Password is not valid123
10/08/2022 02:10:25 PM | INFO | ********* Stard test_login_with_valid_credential ... *********
10/08/2022 02:10:25 PM | INFO | Go to https://www.demo.guru99.com/V4/
10/08/2022 02:10:29 PM | INFO | enter userID
10/08/2022 02:10:29 PM | INFO | enter Password
10/08/2022 02:10:30 PM | INFO | click login button
10/08/2022 02:10:32 PM | INFO | Actual page title is: Guru99 Bank Manager HomePage
10/08/2022 02:10:32 PM | INFO | Expected page title is: Guru99 Bank Manager HomePage
10/08/2022 02:10:32 PM | INFO | Test Case Passed.
10/08/2022 02:10:33 PM | INFO | ********* Stard test_login_with_invalid_credential ... *********
